  101 ! (c) 2018 Oklahoma Climatological Survey and the Oklahoma Mesonet - all rights reserved
  21 2018 04 13 00 00 00
 STID  STNM  TIME   RELH   TAIR   WSPD   WVEC  WDIR   WDSD   WSSD   WMAX    RAIN     PRES  SRAD   TA9M   WS2M   TS10   TB10   TS05   TS25   TS60    TR05    TR25    TR60
 ELRE    34     0     42   29.1   10.6   10.5   160    5.3    1.6   14.0    0.00   948.93   162   29.2    8.5   17.0   23.9   19.3   13.2   11.4    3.09    2.75    1.93
 ERIC    35     0      7   35.6   12.2   12.1   221    7.9    1.5   16.3    0.00   926.57   183   35.8    8.9   25.0   28.6   26.3   20.2   15.4    1.89    1.69    2.17
 EUFA    36     0     55   25.0   10.2   10.1   185    8.5    1.4   15.0    0.00   978.92   121   25.3    7.8   15.8   20.1   17.6   13.7   12.4    1.52    1.45    1.36
 EVAX   141     0      6   30.8   14.0   13.9   229    7.2    1.9   19.5    0.00   875.04   185   30.8    8.9   19.9   21.5   18.6   13.0   11.5    3.86    2.59    3.65
 FAIR    37     0     26   32.0   10.4   10.3   177    8.6    2.8   19.6    0.00   947.04    39   32.4    7.8   16.8   23.9   16.3   15.2   12.3    1.78    1.55    2.47
 FITT   127     0     60   24.6   10.4   10.3   176    9.7    2.1   15.4    0.00   961.70   138   24.7    8.2   18.2   23.1   21.5   15.3   13.4    2.32    1.59    1.46
 FORA    38     0     51   26.2   11.2   11.1   167    7.0    1.2   13.9    0.00   959.28   141   26.2    8.2   18.2   23.9   21.0   13.7   11.4    2.14    1.45    1.42
 FREE    39     0      5   35.0   13.4   13.3   230    6.7    1.2   15.9    0.00   931.70    86   35.6    9.5   25.2   25.5   26.3   15.5   13.0    2.72    3.39    3.79
 FTCB    40     0     29   31.3   11.6   11.5   166    6.8    1.5   14.7    0.00   948.35   162   31.6    8.8   20.7   25.4   23.0   17.7   14.6    1.62    1.58    1.76
 GOOD    41     0      8   31.3   12.6   12.6   236    6.7    1.7   18.4    0.00   882.14   234   31.2    9.2   19.9   23.7   20.7   14.6   12.4    3.89    2.47    2.50
 GRA2   117     0     35   31.4   10.0    9.9   167    6.3    1.4   13.2    0.00   957.89   163   32.2    6.7   18.8   24.6   22.5   15.5   14.2    1.81    1.43    1.45
 GUTH    43     0     46   28.6   10.4   10.3   173    9.4    2.1   15.1    0.00   958.94   156   28.6    8.7   18.7   24.2   21.2   16.0   -998    2.30    1.74    -998
 HASK    44     0     58   25.0   10.1   10.0   176    6.4    1.6   14.1    0.00   980.05   132   25.2    7.8   13.9   19.0   16.2   12.1   11.2    1.45    1.41    1.37
 HECT   113     0     57   24.7    8.1    8.0   180   12.6    1.8   12.1    0.00   972.60   130   24.9    6.2   17.4   19.2   18.3   14.0   12.6    1.44    1.42    1.43
 HINT    45     0     31   30.8   13.1   13.1   164    6.4    1.6   16.4    0.00   939.97   171   30.7   10.2   22.3   25.6   24.0   16.9   14.0    2.94    1.58    1.82
 HOBA    46     0     28   31.9   13.0   12.9   169    5.6    1.6   17.4    0.00   941.69   156   32.0    9.1   17.5   23.3   23.6   15.9   13.0    3.47    3.54    2.91
 HOLD   134     0     58   25.1   10.9   10.7   184   10.2    2.4   14.9    0.00   969.02   140   25.1    9.0   17.4   22.6   18.4   14.4   12.6    1.45    1.38    1.40
 HOLL    47     0      8   36.4   10.0    9.9   225    7.5    1.5   12.7    0.00   938.51   154   36.5    7.4   23.6   23.6   26.8   17.9   15.3    3.86    3.45    2.54
 HOOK    48     0      7   32.5   11.8   11.7   218    7.0    2.3   16.5    0.00   890.71   259   32.4    8.6   17.4   22.3   19.5   14.6   13.0    3.60    3.64    3.83
 HUGO    49     0     51   25.5    8.3    8.2   170    9.6    1.5   12.5    0.00   984.42   131   25.6    6.3   18.4   19.5   19.0   15.3   -998    1.40    1.47    -998
 IDAB    50     0     49   25.8    9.6    9.5   181    8.6    1.4   12.4    0.00   993.21   110   26.5    7.7   19.8   19.6   19.8   16.2   -998    1.59    1.36    -998
 INOL   120     0     56   25.0   11.5   11.5   183    6.6    1.9   17.3    0.00   978.89   131   25.1    8.9   14.6   17.8   15.4   12.7   10.8    1.51    1.39    1.47
 JAYX    51     0     49   25.8    7.7    7.4   186   16.9    2.0   12.0    0.00   965.80   127   25.8    6.1   13.4   20.3   15.1   11.5   -998    1.60    1.42    -998
 KENT    52     0      7   28.8   11.7   11.6   232    6.9    2.0   17.4    0.00   849.14   306   28.6    8.9   18.7   21.5   20.5   15.0   -998    3.75    3.26    -998
 KETC    53     0     54   27.5    9.8    9.6   160    7.9    2.2   15.0    0.00   960.08   152   27.3    7.6   18.7   23.8   21.1   16.3   13.9    1.99    1.37    1.54
 KIN2   133     0     40   29.8   12.5   12.4   172    7.2    1.6   16.7    0.00   958.42   162   30.0   10.1   16.7   25.1   16.5   14.7   12.7    3.87    2.90    3.24
 LAHO    55     0     37   29.4   10.3   10.2   169    8.8    2.1   16.9    0.00   949.22   107   29.7    7.4   14.6   21.4   15.8   12.2   10.8    1.83    2.03    2.75
 LANE    56     0     54   25.6    6.6    6.4   167   12.2    1.6   10.5    0.00   982.63   145   25.6    5.6   19.1   19.8   20.0   16.0   13.8    1.58    1.43    1.44
 MADI    57     0     59   25.7    6.1    6.0   175   11.6    1.5   10.6    0.00   975.28   154   25.9    5.1   19.8   22.1   20.7   -998   -998    1.66    -998    -998
 MANG    58     0      8   37.1    8.8    8.7   225    9.1    1.0   11.7    0.00   942.58   107   37.4    6.2   23.0   27.9   24.1   17.4   -998    -999    -999    -998
 MARE    59     0     46   28.1   10.4   10.2   172    9.1    1.5   14.0    0.00   959.44   151   28.0    9.0   16.7   23.6   17.6   14.1   12.3    1.72    1.60    1.60
 MAYR    61     0      5   35.9   10.9   10.8   228    8.1    2.2   15.6    0.00   928.74   198   35.9    8.3   17.4   24.0   19.9   13.8   11.4    2.04    2.59    3.13
 MCAL    62     0     53   25.5    7.1    6.8   184   18.8    1.7   10.6    0.00   976.12   130   25.6    5.1   19.0   20.8   -999   16.9   -998    1.31    1.39    -998
 MEDF    63     0     42   29.2   11.9   11.8   162    7.7    2.1   16.4    0.00   955.82   143   29.0    8.9   14.0   21.9   15.8   -998   -998    1.47    -998    -998
 MEDI    64     0     29   31.1   11.0   10.8   170    9.2    1.6   14.8    0.00   941.98   170   31.3    7.8   24.2   28.1   24.7   18.2   -998    3.23    2.40    -998
 MIAM    65     0     52   25.4    7.9    7.8   182   10.4    1.1   11.1    0.00   971.35   114   25.9    6.2   15.8   18.2   15.9   12.6   10.6    1.40    1.60    1.49
 MINC    66     0     44   29.0   12.8   12.7   161    6.3    1.4   17.0    0.00   948.34   158   28.8   10.8   20.9   24.7   22.9   14.8   -998    2.13    2.06    -998
 MRSH   125     0     42   29.4   10.5   10.4   171    8.8    2.0   15.2    0.00   959.93   157   29.4    8.2   18.4   22.6   17.4   14.2   -998    2.92    2.31    -998
